default,SIZE,TLTA,WCTA,CLCA,NITA,BETL,EBITTA,SALESTA
0,6.710938,0.242891,0.6662909,0.2092382,0.0827889,3.117073,0.1042755,0.6337962
0,6.704876,0.1947268,0.536621,0.2001889,0.0779796,4.1354,0.0977041,0.6433205
0,11.46513,0.6093466,0.0476139,0.847142,0.0386298,0.641102,0.0412491,1.261557
0,11.47515,0.5704402,0.0395129,0.8778748,0.0612057,0.753032,0.0578814,1.374315
0,11.54535,0.5420359,-0.0315857,1.108513,0.0641439,0.8448963,0.0658555,1.410132
0,11.64254,0.5158727,-0.0383921,1.145022,0.0624268,0.9384627,0.0718973,1.132743
0,11.56317,0.5206366,-0.0488249,1.199427,0.0657685,0.9207256,0.0478529,1.457143
0,11.65937,0.5515267,-0.0659578,1.258987,0.0586986,0.8131489,0.0063795,1.37931
0,11.69594,0.5742974,-0.0165999,1.067136,0.0031981,0.7412583,-0.0101863,1.414634
0,11.78369,0.6404598,-0.0740374,1.282031,0.0009828,0.5613782,-0.0040148,1.152174
0,11.91627,0.5946242,-0.1231447,1.499929,0.006896,0.6817344,0.018699,0.9939394
